Time	P	BC	R
0.	2.	4.14880563069e-13	1.
1.10755465474e-14	2.	0.	1.
0.0398697068404	1.99348534202	0.	0.
6.12000000002	1.	0.	0.
6.12000000002	1.	0.	0.
6.14666666668	0.	0.00775193798451	0.
9.56000000001	0.	1.	0.
9.56000000001	0.	1.	0.
9.59967479676	0.	2.	0.0162601626016
12.	0.	2.	1.
12.0398697069	0.00651465798044	1.99998564916	2.
18.12	1.	1.99779714621	2.
18.12	1.	1.99779714621	2.
18.9733333334	2.	1.75028157506	2.
21.56	2.	1.	2.
21.56	2.	1.	2.
21.5996747968	2.	0.	1.9837398374
24.	2.	0.	1.
24.	2.	0.	1.
24.0398697069	1.99348534202	0.	0.
30.12	1.	0.	0.
30.12	1.	0.	0.
30.1466666667	0.	0.00775193798451	0.
33.56	0.	1.	0.
33.56	0.	1.	0.
33.5996747968	0.	2.	0.0162601626016
36.	0.	2.	1.
36.0398697069	0.00651465798044	1.99998564916	2.
42.1200000001	1.	1.99779714621	2.
42.1200000001	1.	1.99779714621	2.
42.9733333334	2.	1.75028157506	2.
45.5600000001	2.	1.	2.
45.5600000001	2.	1.	2.
45.5996747968	2.	0.	1.9837398374
48.0000000001	2.	0.	1.
48.0000000001	2.	0.	1.
48.0398697069	1.99348534202	0.	0.
54.1200000001	1.	0.	0.
54.1200000001	1.	0.	0.
54.1466666667	0.	0.00775193798451	0.
57.5600000001	0.	1.	0.
57.5600000001	0.	1.	0.
57.5996747968	0.	2.	0.0162601626016
60.0000000001	0.	2.	1.
60.0398697069	0.00651465798044	1.99998564916	2.
66.1200000001	1.	1.99779714621	2.
66.1200000001	1.	1.99779714621	2.
66.9733333334	2.	1.75028157506	2.
69.5600000001	2.	1.	2.
69.5600000001	2.	1.	2.
69.5996747968	2.	0.	1.9837398374
72.0000000001	2.	0.	1.
